VINTAGE,Total UPB,Loan Count,Avg UPB,Int Rate WA,BRW FICO WA,CO BRW FICO WA,LTV WA,CLTV WA,DTI WA
2013,320000,2,160000.0,3.6,799.0,0.0,41.8,41.8,26.0
2014,15963000,99,161242.0,4.0,754.0,352.0,67.19999999999989,69.10000000000011,33.400000000000055
2015,38472793000,169222,227351.0,4.0,753.0,398.0,75.19999999983276,76.0,34.200000000106854
2016,540659407000,2298486,235224.0,3.7000000001195468,757.0,410.0,73.40000000317112,74.0,33.5
2017,433708609000,1902515,227966.0,4.200000000128751,750.0,383.0,75.59999999731137,76.20000000106334,35.399999998973165
2018,55723197000,240719,231486.0,4.300000000018818,748.0,368.0,74.5,75.0,36.90000000016558
